Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
STEROID HORMONE SIGNALING IN GENETICALLY OBESE DROSOPHILA,NIGMS,1R15GM100395-01,1,R15,GM,100395,1,,8433318,"GIBBS, ALLEN  ",UNIVERSITY OF NEVADA LAS VEGAS,2012,285893
CYCLE REGULATION IN THE SYMBIONT SINORHIZOBIUM MELILOTI,NIGMS,1R15GM099052-01,1,R15,GM,99052,1,,10657552,"GIBSON, KATHERINE ELISABETH",UNIVERSITY OF MASSACHUSETTS BOSTON,2011,305000
CHROMOSOME CONGRESSION IN DROSOPHILA FEMALE MEIOSIS,NIGMS,1R15GM099054-01,1,R15,GM,99054,1,,8860371,"GILLILAND, WILLIAM DEAN",DE PAUL UNIVERSITY,2011,278350
A UNIQUE DOUBLE PHD FINGER AND BROMODOMAIN IN EPIGENETIC SIGNALING,NIGMS,3R15GM104865-01S1,3,R15,GM,104865,1,S1,8624597,"GLASS, KAREN CHAMPAGNE",ALBANY COLLEGE OF PHARMACY,2013,76428
A UNIQUE DOUBLE PHD FINGER AND BROMODOMAIN IN EPIGENETIC SIGNALING,NIGMS,1R15GM104865-01,1,R15,GM,104865,1,,8624597,"GLASS, KAREN CHAMPAGNE",ALBANY COLLEGE OF PHARMACY,2013,353400
HAND-HELD OPTICAL IMAGER FOR BREAST CANCER IMAGING,NCI,3R15CA119253-02S1,3,R15,CA,119253,2,S1,8232648,"GODAVARTY, ANURADHA ",FLORIDA INTERNATIONAL UNIVERSITY,2012,60783
USING VITAMIN D GLUCURONIDE PRO-DRUGS TO PREVENT/TREAT COLON CANCER,NCI,1R15CA173628-01,1,R15,CA,173628,1,,9843735,"GOFF, JESSE PAUL",IOWA STATE UNIVERSITY,2013,435848
THERAPEUTIC LYMPHATIC COLLECTING VESSEL REGENERATION BY DIRECTED FLUID FLOW,NHLBI,1R15HL113954-01,1,R15,HL,113954,1,,8286712,"GOLDMAN, JEREMY ",MICHIGAN TECHNOLOGICAL UNIVERSITY,2012,459600
MOLECULAR GENETIC ANALYSIS OF PDR5P; A MAJOR YEAST MULTIDRUG TRANSPORTER,NIGMS,2R15GM077211-03,2,R15,GM,77211,3,,8477720,"GOLIN, JOHN ",CATHOLIC UNIVERSITY OF AMERICA,2014,289754
SURFACE-FUNCTIONALIZED SPIONS FOR PH-SENSITIVE MRI CONTRAST IN PHYSIOLOGICALLY-RE,NIBIB,2R15EB007074-02,2,R15,EB,7074,2,,8440795,"GOODSON, BOYD M ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2011,430540
MITOCHONDRIAL RHOMBOID FUNCTION IN YEAST,NIGMS,1R15GM085755-01A2,1,R15,GM,85755,1,A2,6585442,"GORDON, DONNA M",MISSISSIPPI STATE UNIVERSITY,2010,414719
NUCLEOSIDE TRANSPORTER-CONNEXIN INTERPLAY IN PANCREATIC CANCER CHEMOTHERAPY,NCI,1R15CA176528-01A1,1,R15,CA,176528,1,A1,9613118,"GOVINDARAJAN, RAJGOPAL ",UNIVERSITY OF GEORGIA,2014,448500
MUC1 AND RESISTANCE OF CANCER CELLS TO ONCOLYTIC VIROTHERAPY,NCI,1R15CA167517-01,1,R15,CA,167517,1,,9035105,"GRDZELISHVILI, VALERY ZURABOVICH",UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2012,436701
IN VIVO ANALYSIS OF ADENOSINE RIBONUCLEOSIDES BY MICRODIALYSIS AND CAPILLARY ELEC,NINDS,1R15NS074422-01A1,1,R15,NS,74422,1,A1,10529452,"GREEN, THOMAS K",UNIVERSITY OF ALASKA FAIRBANKS,2012,407599
EXPLORING MECHANISMS OF AGING IN EUKARYOTES,NIA,7R15AG037158-02,7,R15,AG,37158,2,,7258173,"GREER, KIMBERLY A",NORTH DAKOTA STATE UNIVERSITY,2011,360202
INCUBATION OF CRAVING:  ABSTINENCE AND ENVIRONMENTAL ENRICHMENT-MEDIATED MOLECULA,NIDA,3R15DA016285-03S1,3,R15,DA,16285,3,S1,7111455,"GRIMM, JEFFREY W",WESTERN WASHINGTON UNIVERSITY,2012,22567
INCUBATION OF CRAVING:  ABSTINENCE AND ENVIRONMENTAL ENRICHMENT-MEDIATED MOLECULA,NIDA,2R15DA016285-03,2,R15,DA,16285,3,,7111455,"GRIMM, JEFFREY W",WESTERN WASHINGTON UNIVERSITY,2011,386731
MECHANISMS OF SOCIAL ISOLATION AND ENVIRONMENTAL ENRICHMENT IN AN ANIMAL MODEL,NHLBI,1R15HL112350-01A1,1,R15,HL,112350,1,A1,6912739,"GRIPPO, ANGELA J",NORTHERN ILLINOIS UNIVERSITY,2012,354358
MOLECULAR MECHANISMS OF YEAST PAS KINASE REGULATION AND FUNCTION.,NIGMS,1R15GM100376-01,1,R15,GM,100376,1,,8613411,"GROSE, JULIANNE H.",BRIGHAM YOUNG UNIVERSITY,2012,346949
FUNCTIONAL OUTCOMES OF CDK6 AND EYA2 INTERACTION,NCI,2R15CA125731-02A1,2,R15,CA,125731,2,A1,8514583,"GROSSEL, MARTHA J.",CONNECTICUT COLLEGE,2011,419375
BACTERIAL GENE REGULATION IN RESPONSE TO OXIDATIVE STRESS,NIGMS,1R15GM107825-01,1,R15,GM,107825,1,,6471619,"GROVE, ANNE ",LOUISIANA STATE UNIV A&M COL BATON ROUGE,2013,317929
SUBJECT SPECIFIC CONCURRENT SIMULATION OF MOVEMENT AND NATURAL KNEE CONTACT MECHA,NIAMS,7R15AR061698-02,7,R15,AR,61698,2,,9334811,"GUESS, TRENT MORGAN",UNIVERSITY OF MISSOURI-COLUMBIA,2011,137262
RNA SPLICING IN ARCHAEA,NIGMS,2R15GM055945-05,2,R15,GM,55945,5,,8070877,"GUPTA, RAMESH ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2012,291000
THE SYNTHESIS AND BIOASSAY OF NOVEL PYRROLES,NCI,2R15CA067236-05A1,2,R15,CA,67236,5,A1,1964939,"GUPTON, JOHN T.",UNIVERSITY OF RICHMOND,2012,348572
BDNF OVER-EXPRESSION AND OLFACTORY NEUROGENESIS,NIDCD,1R15DC012425-01A1,1,R15,DC,12425,1,A1,1892669,"GUTHRIE, KATHLEEN M",FLORIDA ATLANTIC UNIVERSITY,2012,429050
MOLECULAR MECHANISM OF FLEXIBLE CARBOHYDRATE-PROTEIN INTERACTION IN CD44,NIGMS,1R15GM099022-01,1,R15,GM,99022,1,,8211518,"GUVENCH, OLGUN ",UNIVERSITY OF NEW ENGLAND,2011,352480
MECHANISMS OF ALCOHOL-INDUCED CARDIOMYOPATHY.,NIAAA,1R15AA019816-01A1,1,R15,AA,19816,1,A1,6522277,"HADDAD, GEORGES E",HOWARD UNIVERSITY,2011,442002
ROLE OF STAT PROTEINS IN MAPK SIGNAL TRANSDUCTION PATHWAYS,NIGMS,1R15GM097717-01,1,R15,GM,97717,1,,1964199,"HADWIGER, JEFFREY A",OKLAHOMA STATE UNIVERSITY STILLWATER,2011,276139
NANOTECHNOLOGY: ADVANCING TOXICITY TESTING,NINDS,1R15NS067548-01A1,1,R15,NS,67548,1,A1,8564296,"HAIK, KRISTI LYNN ",NORTHERN KENTUCKY UNIVERSITY,2011,405760
AAA ATPASES LINKING MITOCHONDRIA WITH MICROTUBULE PROCESSING IN FLIES AND YEAST,NIGMS,2R15GM080689-02A1,2,R15,GM,80689,2,A1,1892228,"HALES, KAREN G",DAVIDSON COLLEGE,2012,320832
SYNTHESIS OF PHOSPHONO-CHEY AND PHOSPHONO-VHR,NIGMS,2R15GM063514-02A2,2,R15,GM,63514,2,A2,1930225,"HALKIDES, CHRISTOPHER JOHN",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2010,216000
TRANSITION METAL CATALYZED CONSTRUCTION OF RING SYSTEMS,NIGMS,1R15GM101604-01,1,R15,GM,101604,1,,1979376,"HAMMOND, GERALD B",UNIVERSITY OF LOUISVILLE RES FDN,2012,335091
IDENTIFYING AND CHARACTERIZING PROTEINS THAT DETECT UNPAIRED DNA DURING MEIOSIS.,NICHD,1R15HD076309-01,1,R15,HD,76309,1,,11460752,"HAMMOND, THOMAS MICHAEL",ILLINOIS STATE UNIVERSITY,2013,360000
DROSOPHILA MODEL FOR BEHAVIORAL DISINHIBITION,NIAAA,1R15AA020996-01,1,R15,AA,20996,1,,8483796,"HAN, KYUNG-AN ",UNIVERSITY OF TEXAS EL PASO,2012,448500
REGULATION OF ESSENTIAL MURINE CYTOMEGALOVIRUS GENES M142 AND M143,NIAID,1R15AI094352-01,1,R15,AI,94352,1,,1891906,"HANSON, LAURA K",TEXAS WOMAN'S UNIVERSITY,2011,413539
MECHANISMS OF ACTION OF UMUD IN REGULATING DNA DAMAGE-INDUCED GENES IN A UMUC DEF,NIGMS,2R15GM085722-02,2,R15,GM,85722,2,,9257147,"HARE, JANELLE M",MOREHEAD STATE UNIVERSITY,2013,248000
A TALE OF TWO SYNAPSES: THE DEVELOPMENT OF NEUROTRANSMITTER PHENOTYPE IN MOTOR NE,NICHD,1R15HD075207-01A1,1,R15,HD,75207,1,A1,8860439,"HARRINGTON, MELISSA A.",DELAWARE STATE UNIVERSITY,2013,423645
RESISTANCE TRAINING IMPROVEMENT IN AGE-ASSOCIATED ENDOTHELIAL DYSFUNCTION,NHLBI,1R15HL108428-01A1,1,R15,HL,108428,1,A1,8232965,"HARRIS, MICHAEL B",COLLEGE OF WILLIAM AND MARY,2010,212040
COORDINATE REGULATION OF P53 AND C-MYC IN AN HTLV-1 MODEL OF CARCINOGENESIS,NCI,1R15CA158945-01A1,1,R15,CA,158945,1,A1,7329429,"HARROD, ROBERT L",SOUTHERN METHODIST UNIVERSITY,2012,435686
LIGHT-TARGETED DRUG DELIVERY,NCI,1R15CA167582-01,1,R15,CA,167582,1,,8856326,"HARTMAN, MATTHEW C",VIRGINIA COMMONWEALTH UNIVERSITY,2012,418038
CODRUGS OF LIPOIC ACID AND TOCOPHEROL/TOCOPHERAMINE FOR USE AS PHOTOPROTECTIVE AG,NIAMS,1R15AR060008-01A1,1,R15,AR,60008,1,A1,8579914,"HASS, MARTHA A.",ALBANY COLLEGE OF PHARMACY,2011,453896
EFFECTS OF CRIMINAL JUSTICE SYSTEM EXPOSURE ON YOUTH'S SUBSTANCE USE TRAJECTORIES,NIDA,1R15DA032875-01,1,R15,DA,32875,1,,10551927,"HASSETT WALKER, CONNIE ",KEAN UNIVERSITY,2012,458434
TESTING DIRECT EFFECTS OF REPRODUCTION ON STRESS AND MORTALITY VIA OVARIECTOMY,NIA,2R15AG028512-02A1,2,R15,AG,28512,2,A1,8557330,"HATLE, JOHN D.",UNIVERSITY OF NORTH FLORIDA,2010,339757
DEER MICE AS TOOLS FOR INFECTIOUS DISEASE RESEARCH,NIAID,2R15AI054461-02A1,2,R15,AI,54461,2,A1,11749578,"HAWKINSON, ANN ",UNIVERSITY OF NORTHERN COLORADO,2013,393870
REGULATION OF ER TO GOLGI TRANSPORT BY LUMINAL CALCIUM,NIGMS,1R15GM106323-01,1,R15,GM,106323,1,,1930128,"HAY, JESSE C",UNIVERSITY OF MONTANA,2013,319601
MECHANISMS OF WNT7A-FGF1 SIGNALING AND THEIR THERAPEUTIC POTENTIAL IN OVARIAN CAN,NCI,1R15CA179214-01,1,R15,CA,179214,1,,9018333,"HAYASHI, KANAKO ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2013,442500
THE REPRODUCTIVE AND COGNITIVE EFFECTS OF IN-UTERO MERCURIC CHLORIDE EXPOSURE; AN,NIEHS,1R15ES020066-01,1,R15,ES,20066,1,,9821396,"HEATH, JOHN C",TUSKEGEE UNIVERSITY,2011,396844
COMBINATORIAL CONTRIBUTIONS OF HERITABLE NEUROENDOCRINE VARIATION TO MALEINFERTI,NICHD,1R15HD068962-01,1,R15,HD,68962,1,,1919174,"HEIDEMAN, PAUL D",COLLEGE OF WILLIAM AND MARY,2011,378182
ROLE OF SMALL TRANSMEMBRANE PROTEINS IN CYTOCHROME BD OXIDASE ACTIVITY,NIAID,1R15AI094548-01,1,R15,AI,94548,1,,10547261,"HEMM, MATTHEW ROBERT",TOWSON UNIVERSITY,2011,388619
SIGNAL TRANSDUCTION IN INTRAPULMONARY CHEMORECEPTORS,NHLBI,2R15HL087269-02,2,R15,HL,87269,2,,1916273,"HEMPLEMAN, STEVEN C",NORTHERN ARIZONA UNIVERSITY,2010,439693
STRESS-INDUCED SICKNESS BEHAVIOR DURING SOCIAL SEPARATION,NIMH,2R15MH068228-04A1,2,R15,MH,68228,4,A1,1910130,"HENNESSY, MICHAEL B",WRIGHT STATE UNIVERSITY,2013,438000
DETERMINATION OF THE MECHANISM OF THE IMMUNOSUPPRESSIVE EFFECTS OF THIOPURINES,NIAID,1R15AI096146-01A1,1,R15,AI,96146,1,A1,8760562,"HEO, JONGYUN ",UNIVERSITY OF TEXAS ARLINGTON,2012,440320
HXE HYPERPOLARISED XENON PRODUCTION TECHNOLOGY OPTIMIZATION,NIBIB,1R15EB015111-01A1,1,R15,EB,15111,1,A1,6866053,"HERSMAN, F. WILLIAM",UNIVERSITY OF NEW HAMPSHIRE,2012,419851
THE ROLE OF THE ACTIN CYTOSKELETON AND CHOLESTEROL IN INFLUENZA VIRUS ASSEMBLY,NIGMS,1R15GM094713-01,1,R15,GM,94713,1,,6295818,"HESS, SAMUEL T",UNIVERSITY OF MAINE ORONO,2010,424899
AVATAR-BASED DECISION SUPPORT TECHNOLOGY FOR SURROGATE DECISION MAKERS,NINR,1R15NR013569-01A1,1,R15,NR,13569,1,A1,9838830,"HICKMAN, RONALD LEE",CASE WESTERN RESERVE UNIVERSITY,2013,475476
NADPH OXIDASE AND MICROVASCULAR DYSFUNCTION IN OBESITY,NHLBI,1R15HL113854-01A1,1,R15,HL,113854,1,A1,1885170,"HICKNER, ROBERT C",EAST CAROLINA UNIVERSITY,2013,435242
IMPACT OF BACTERIAL INFECTION ON MYELOID DENDRITIC CELL DEVELOPMENT,NIAID,1R15AI107773-01,1,R15,AI,107773,1,,7608583,"HILTBOLD, ELIZABETH M",AUBURN UNIVERSITY AT AUBURN,2013,444000
MENTAL AND PHYSICAL HEALTH OF MEN WHO SUSTAIN PARTNER VIOLENCE AND THEIR CHILDREN,NICHD,1R15HD071635-01,1,R15,HD,71635,1,,8690011,"HINES, DENISE ANN","CLARK UNIVERSITY (WORCESTER, MA)",2011,466692
WNT5 AND THE PATTERNING OF THE OLFACTORY MAP,NIDCD,1R15DC010916-01,1,R15,DC,10916,1,,9580337,"HING, HUEY K",COLLEGE AT BROCKPORT,2010,219369
UNDERSTANDING ETIOLOGY: MAPPING CLOSTRIDIUM DIFFICILE SPATIAL DISTRIBUTION AND MI,NIAID,1R15AI105758-01,1,R15,AI,105758,1,,9503523,"HOLBEN, WILLIAM E",UNIVERSITY OF MONTANA,2013,353750
MECHANISMS AND FUNCTIONAL CONSEQUENCES OF REOVIRUS INNATE IMMUNE ACTIVATION,NIAID,1R15AI094440-01,1,R15,AI,94440,1,,2205348,"HOLM, GEOFFREY H",COLGATE UNIVERSITY,2011,370561
FUNCTIONAL INTERACTION OF HISTONE H1 WITH THE CORE NUCLEOSOME,NIGMS,1R15GM102824-01,1,R15,GM,102824,1,,1921531,"HOLMES, SCOTT G",WESLEYAN UNIVERSITY,2012,374150
THE ROLE OF THE MTOR SIGNALING PATHWAY IN ER-POSITIVE BREAST CANCER,NCI,2R15CA151112-02,2,R15,CA,151112,2,,10183528,"HOLZ, MARINA KAUFMAN",YESHIVA UNIVERSITY,2013,542286
A NEW ANTIBACTERIAL DRUG TARGET: ANALYZING INHIBITOR BINDING TO A BACTERIAL METAL,NIAID,1R15AI085559-01A1,1,R15,AI,85559,1,A1,1863170,"HOLZ, RICHARD C",LOYOLA UNIVERSITY OF CHICAGO,2010,400175
CYTOXIC AND GENOTOXIC EFFECTS OF MANUFACTURED NANOPARTICLES ON STEM CELLS,NIEHS,7R15ES019298-02,7,R15,ES,19298,2,,6138682,"HONG, YILING ",WESTERN UNIVERSITY OF HEALTH SCIENCES,2011,232746
MECHANISMS UNDERLYING PATTERN FORMATION IN S. CEREVISIAE COLONIES,NIGMS,3R15GM094770-01S2,3,R15,GM,94770,1,S2,1926513,"HONIGBERG, SAUL M",UNIVERSITY OF MISSOURI KANSAS CITY,2012,27375
MECHANISMS UNDERLYING PATTERN FORMATION IN S. CEREVISIAE COLONIES,NIGMS,3R15GM094770-01S1,3,R15,GM,94770,1,S1,1926513,"HONIGBERG, SAUL M",UNIVERSITY OF MISSOURI KANSAS CITY,2011,49695
MECHANISMS UNDERLYING PATTERN FORMATION IN S. CEREVISIAE COLONIES,NIGMS,1R15GM094770-01,1,R15,GM,94770,1,,1926513,"HONIGBERG, SAUL M",UNIVERSITY OF MISSOURI KANSAS CITY,2010,450000
MOLECULAR GENETIC ANALYSIS OF UNC-82 KINASE FUNCTION IN C. ELEGANS MUSCLE,NIAMS,1R15AR057975-01,1,R15,AR,57975,1,,1908969,"HOPPE, PAMELA E",WESTERN MICHIGAN UNIVERSITY,2010,185623
THE ROLE OF MU OPIOID RECEPTOR ACTIVATION IN PSYCHOSTIMULANT-INDUCED GENE EXPRESS,NIDA,1R15DA025303-01A1,1,R15,DA,25303,1,A1,2439347,"HORNER, KRISTEN A",MERCER UNIVERSITY MACON,2009,226815
DETECT SMALL AND VERY SMALL IN-SPACE INVERSIONS AND IMPROVE ALIGNMENT QUALITY,NHGRI,1R15HG005913-01,1,R15,HG,5913,1,,10289391,"HOU, MINMEI ",NORTHERN ILLINOIS UNIVERSITY,2010,316455
REGULATION OF PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE DURING INFLAMMATION,NIDCR,1R15DE021876-01,1,R15,DE,21876,1,,2107927,"HOWARD, KATHERINE M",UNIVERSITY OF NEVADA LAS VEGAS,2011,360000
ADAMANTANE DRUG BINDING TO MEMBRANE-BOUND INFLUENZA A M2 PROTEIN,NIAID,1R15AI094483-01,1,R15,AI,94483,1,,1864682,"HOWARD, KATHLEEN P",SWARTHMORE COLLEGE,2011,308849
THE ROLE OF EXPOSURE TO BIOACCUMULATIVE ORGANOCHLORINE COMPOUNDS ON THE OCCURRENC,NIEHS,7R15ES019742-03,7,R15,ES,19742,3,,9436467,"HOWELL, GEORGE E",MISSISSIPPI STATE UNIVERSITY,2010,49468
THERAPEUTIC POTENTIAL OF ARE-MEDIATED GENE EXPRESSION IN HUNTINGTON'S DISEASE,NINDS,1R15NS071456-01,1,R15,NS,71456,1,,1907619,"HOYT, KARI RENE",OHIO STATE UNIVERSITY,2010,457500
PALLADACYCLE-CATALYZED TANDEM DOUBLE ADDITION REACTIONS FOR ORGANIC SYNTHESIS,NIGMS,1R15GM094709-01,1,R15,GM,94709,1,,7609359,"HU, QIAO-SHENG ",COLLEGE OF STATEN ISLAND,2010,454135
CANCER CELL-TARGETED SIRNA DELIVERY BY FOLATE-CONJUGATED GOLD-SIRNA-PEG/PEI NANOP,NCI,1R15CA152822-01,1,R15,CA,152822,1,,8506240,"HUANG, FAQING ",UNIVERSITY OF SOUTHERN MISSISSIPPI,2010,435000
RESTRICTIVE CARDIOMYOPATHY CAUSED BY CARDIAC TROPONIN MUTATIONS,NHLBI,1R15HL112130-01,1,R15,HL,112130,1,,6400405,"HUANG, XUPEI ",FLORIDA ATLANTIC UNIVERSITY,2012,433500
VEGF AND SKELETAL MUSCLE ADAPTATION DURING CHRONIC OVERLOAD,NIAMS,1R15AR060469-01A1,1,R15,AR,60469,1,A1,7775190,"HUEY, KIMBERLY ANN",DRAKE UNIVERSITY,2011,414990
MENU-AIDDS: NUTRITION INTERVENTION FOR WEIGHT AND GI DYSFUNCTION IN DISABILITY,NICHD,1R15HD067885-01,1,R15,HD,67885,1,,8233146,"HUMPHRIES, KATHLEEN ",UNIVERSITY OF MONTANA,2011,425688
NEUROMUSCULAR FATIGUE: AGE AND SEX DIFFERENCES,NIA,1R15AG039697-01A1,1,R15,AG,39697,1,A1,7663631,"HUNTER, SANDRA K",MARQUETTE UNIVERSITY,2011,410863
HIGH-PERFORMANCE MEMBRANE CHROMATOGRAPHY FOR PROTEIN PURIFICATION,NIGMS,1R15GM094676-01,1,R15,GM,94676,1,,8694685,"HUSSON, SCOTT M",CLEMSON UNIVERSITY,2010,320320
MULTIRESOLUTION-FRACTAL MODELING FOR BRAIN TUMOR DETECTION,NCI,7R15CA115464-02,7,R15,CA,115464,2,,6600821,"IFTEKHARUDDIN, KHAN M",OLD DOMINION UNIVERSITY,2010,371637
TOLL-LIKE RECEPTOR IN PROOXIDANT MODEL OF OROFACIAL PAIN,NIDCR,1R15DE021888-01,1,R15,DE,21888,1,,1969501,"IGWE, ORISA J",UNIVERSITY OF MISSOURI KANSAS CITY,2011,438881
ROLE OF CHI3L1 IN ACCELERATING BREAST CANCER METASTASIS,NCI,3R15CA135513-02A1S1,3,R15,CA,135513,2,A1S1,7748346,"IRAGAVARAPU-CHARYULU, VIJAYA L",FLORIDA ATLANTIC UNIVERSITY,2013,96841
ROLE OF CHI3L1 IN ACCELERATING BREAST CANCER METASTASIS: A MECHANISTIC APPROACH,NCI,2R15CA135513-02A1,2,R15,CA,135513,2,A1,7748346,"IRAGAVARAPU-CHARYULU, VIJAYA L",FLORIDA ATLANTIC UNIVERSITY,2012,433500
NOVEL MEKK1-P53 MEDIATED TRANSCRIPTIONAL REGULATION: MECHANISM AND GENOME WIDE ST,NIDDK,2R15DK069897-04,2,R15,DK,69897,4,,8275515,"ISLAM, M. RAFIQ",NORTHWEST MISSOURI STATE UNIVERSITY,2010,208800
CANNABINOID MOBILIZATION IN NEURONS (R15DA021683),NIDA,2R15DA021683-02,2,R15,DA,21683,2,,1882539,"ISOKAWA, MASAKO ",UNIV/TEXAS BROWNSVILLE & SOUTHMOST COLL,2013,398789
COLLAGEN IV ASSEMBLY AND TRAFFICKING,NIDDK,1R15DK091009-01,1,R15,DK,91009,1,,10426617,"IVY, MICHAEL ",TENNESSEE STATE UNIVERSITY,2011,442698
SYNAPTIC MODIFICATION OF AMPARS BY OXIDATIVE STRESS,NINDS,1R15NS074418-01,1,R15,NS,74418,1,,1885864,"JACKSON, DARRELL A",UNIVERSITY OF MONTANA,2011,425108
WAITING FOR A BETTER FUTURE: DECIDING WHEN TO 'CASH IN' WHEN OUTCOMES ARE CONTINU,NIDA,1R15DA026290-01A1,1,R15,DA,26290,1,A1,9345875,"JACOBS, ERIC ANTHONY ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2010,218250
USING GAIT AND SWAY BIOFEEDBACK TO REDUCE FALLS IN THE ELDERLY,NIA,1R15AG037971-01A1,1,R15,AG,37971,1,A1,9723782,"JAFARI, ROOZBEH  ",UNIVERSITY OF TEXAS DALLAS,2011,366746
CB2 AGONISTS AS NOVEL THERAPEUTIC AGENTS THAT LIMIT ALLERGIC LUNG INFLAMMATION,NHLBI,1R15HL112073-01A1,1,R15,HL,112073,1,A1,10373519,"JAFFAR, ZEINA ",UNIVERSITY OF MONTANA,2012,409954
EFFECT OF THE SPIROIMINODIHYDANTOIN LESION ON DNA HELIX STABILITY AND NUCLEOSOME,NCI,1R15CA149958-01A1,1,R15,CA,149958,1,A1,9731796,"JAMIESON, ELIZABETH REDDING",SMITH COLLEGE,2011,403998
PATHOGENIC DETERMINANTS OF AN EMERGING INFECTIOUS DISEASE,NIAID,1R15AI101889-01,1,R15,AI,101889,1,,11120381,"JANCOVICH, JAMES K",CALIFORNIA STATE UNIVERSITY SAN MARCOS,2012,364720
EXPOSURE TO POLYCYCLIC AROMATIC HYDROCARBONS AND MALE SPERM QUALITY,NIEHS,1R15ES018952-01,1,R15,ES,18952,1,,8641265,"JENG, HUEIWANG ANNA COOK",OLD DOMINION UNIVERSITY,2010,234283
MOLECULAR MECHANISMS OF GENISTEIN IN THE PREVENTION OF INFLAMMATORY CYTOKINE (TNF,NCCAM,7R15AT005372-02,7,R15,AT,5372,2,,9371553,"JIA, ZHENQUAN ",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2010,176023
THE DROSOPHILA EXPANSION GENE CONTROLS TRACHEAL TUBE DIAMETER,NIGMS,1R15GM100369-01A1,1,R15,GM,100369,1,A1,10328333,"JIANG, LAN ",OAKLAND UNIVERSITY,2013,324338
STRESS-INDUCED NORADRENERGIC DYSREGULATION OF NEUROINFLAMMATION & HPA RESPONSES,NIMH,1R15MH099580-01A1,1,R15,MH,99580,1,A1,8471364,"JOHNSON, JOHN D",KENT STATE UNIVERSITY AT KENT,2013,441600
PHOSPHATASE REGULATION OF OLFACTORY BULB MITRAL CELL ACTIVITY,NIDCD,1R15DC011923-01,1,R15,DC,11923,1,,8405380,"JOHNSON, MELISSA CAVALLIN",UNIVERSITY OF WEST GEORGIA,2011,308493
DE NOVO ESTABLISHMENT OF POLYCOMB-GROUP-MEDIATED REPRESSION,NIGMS,1R15GM094737-01,1,R15,GM,94737,1,,1964925,"JONES, RICHARD S",SOUTHERN METHODIST UNIVERSITY,2010,426734
ONCOSTATIN M-INDUCED VEGF IN HUMAN BREAST CANCER IS HIF1A-MEDIATED,NCI,1R15CA137510-01A1,1,R15,CA,137510,1,A1,1929614,"JORCYK, CHERYL LYNN",BOISE STATE UNIVERSITY,2009,211500
PREDATION; HABITAT DRYING; AND HABITAT SIZE AND PRODUCTION OF  VECTOR MOSQUITOES,NIAID,1R15AI094322-01A1,1,R15,AI,94322,1,A1,1969626,"JULIANO, STEVEN A",ILLINOIS STATE UNIVERSITY,2012,426500
PALLADIUM AND NICKEL CATALYZED C-H ACTIVATION/C-C BOND FORMATION,NIGMS,1R15GM107892-01,1,R15,GM,107892,1,,11590829,"KALYANI, DIPANNITA ",ST. OLAF COLLEGE,2013,280601
EXECUTIVE CONTROL AND SCHIZOTYPY IN THE LABORATORY AND DAILY LIFE,NIMH,1R15MH093771-01,1,R15,MH,93771,1,,1975521,"KANE, MICHAEL JOHN",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2011,418500
HIGHLY SPECIFIC AND HIGHLY SENSITIVE APTAMER-GOLD NANOPARTICLE BASED NIR CONTRAST,NCI,1R15CA173693-01,1,R15,CA,173693,1,,1895231,"KANG, KYUNG AIH",UNIVERSITY OF LOUISVILLE RES FDN,2013,432018
ALTERED GLYCOLYTIC PATHWAY IN IN VITRO MODELS OF LEUKEMIA DEVELOPED IN HYPOXIA,NCI,1R15CA159308-01,1,R15,CA,159308,1,,9214782,"KANG, MIN HEE",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,2011,444394
POLYAMINE-DEPENDENT REGULATION OF VIBRIO CHOLERAE BIOFILM FORMATION,NIAID,1R15AI096358-01,1,R15,AI,96358,1,,9715536,"KARATAN, ECE ",APPALACHIAN STATE UNIVERSITY,2011,395561
ROLE OF VECTOR ANTIOXIDANT FACTORS IN AMBLYOMMA-RICKETTSIA INTERACTION,NIAID,1R15AI099910-01,1,R15,AI,99910,1,,8556028,"KARIM, SHAHID ",UNIVERSITY OF SOUTHERN MISSISSIPPI,2012,439500
EVOLUTION OF GERMLINE AND SOMATIC GENOMES IN THE CILIATE CHILODONELLA UNCINATA,NIGMS,1R15GM097722-01,1,R15,GM,97722,1,,8787214,"KATZ, LAURA ALINE",SMITH COLLEGE,2011,265043
HIGH-LEVEL EXPRESSION OF HUMAN EAAT3 FOR BIOCHEMICAL AND STRUCTURAL ANALYSIS,NIGMS,3R15GM088799-01A1S1,3,R15,GM,88799,1,A1S1,1890930,"KAVANAUGH, MICHAEL P.",UNIVERSITY OF MONTANA,2011,60720
